Sample,TotalReads,TotalBarcodes,ValidBarcodes,ValidProportion,A,C,B,D
S3_Waccamaw_1704,61986408,61986407,61544606,0.9929,0.909,0.764,0.458,0.767
S3_Cooper_1781,46335310,46335305,46010805,0.993,0.91,0.765,0.457,0.77
S5_Kennetcook_3546,88309425,88309421,87686186,0.9929,0.909,0.764,0.457,0.768
S1_Tusket_015,43592711,43592710,43287464,0.993,0.91,0.764,0.455,0.767
S3_Waccamaw_1721,42697035,42697034,42398275,0.993,0.908,0.76,0.454,0.766
S3_Musquodoboit_594,42096942,42096939,41801880,0.993,0.909,0.764,0.454,0.771
S5_Hudson_1193,38932137,38932137,38657486,0.9929,0.908,0.766,0.458,0.767
S3_Waccamaw_1705,40136003,40136002,39855259,0.993,0.909,0.765,0.458,0.771
S3_Cooper_1783,38148046,38148045,37879335,0.993,0.907,0.761,0.452,0.77
S3_Annis_513,38161617,38161615,37895621,0.993,0.91,0.765,0.455,0.771
S3_Palmer_537,38698600,38698599,38425090,0.9929,0.908,0.76,0.454,0.768
S3_Annapolis_282,38311964,38311961,38044573,0.993,0.908,0.76,0.452,0.773
S3_Annapolis_272,36875535,36875530,36616859,0.993,0.907,0.761,0.454,0.772
S1_Annapolis_27,38320516,38320512,38050511,0.993,0.911,0.763,0.455,0.77
S5_Connecticut_977,37237075,37237074,36976346,0.993,0.909,0.761,0.452,0.77
S3_Cooper_1780,36973682,36973679,36715948,0.993,0.91,0.763,0.457,0.77
S3_Musquodoboit_601,35948561,35948558,35697282,0.993,0.907,0.762,0.456,0.773
S3_Annapolis_039,36074206,36074203,35819907,0.993,0.908,0.762,0.454,0.775
S5_Kennetcook_3540,36627695,36627691,36371779,0.993,0.909,0.764,0.456,0.77
S6_Annis_4799,36187538,36187538,35936915,0.9931,0.906,0.761,0.456,0.77
S1_Musquodoboit_027,36365497,36365496,36111355,0.993,0.909,0.765,0.456,0.767
S3_Cooper_1784,35307833,35307833,35060383,0.993,0.91,0.764,0.458,0.767
S3_Annapolis_290,35455478,35455476,35207065,0.993,0.908,0.764,0.457,0.773
S6_LaHave_3615,35199198,35199196,34954656,0.9931,0.908,0.763,0.457,0.77
S6_Musquodoboit_1547,34629055,34629055,34388543,0.9931,0.908,0.764,0.453,0.769
S1_Annapolis_003,35241236,35241235,34993793,0.993,0.91,0.765,0.456,0.774
S6_Waccamaw_1689,34092254,34092254,33855354,0.9931,0.91,0.765,0.453,0.769
S1_Tusket_029,33583251,33583246,33347894,0.993,0.908,0.765,0.455,0.769
S3_Annapolis_287,33697529,33697525,33459290,0.9929,0.908,0.764,0.456,0.772
S1_Annapolis_7,33512991,33512989,33277205,0.993,0.908,0.764,0.456,0.772
S5_Connecticut_989,33064663,33064660,32832940,0.993,0.911,0.766,0.457,0.766
S6_Waccamaw_1684,32955082,32955081,32725873,0.993,0.907,0.762,0.456,0.77
S6_LaHave_3608,32268768,32268768,32042791,0.993,0.908,0.763,0.458,0.769
S1_Tusket_026,32606095,32606095,32377479,0.993,0.91,0.763,0.458,0.765
S3_Waccamaw_1720,32374164,32374164,32148354,0.993,0.908,0.762,0.455,0.772
S6_Musquodoboit_1545,31501822,31501819,31283533,0.9931,0.909,0.766,0.457,0.769
S3_Annis_510,31660983,31660981,31439781,0.993,0.909,0.762,0.453,0.771
S3_Annapolis_288,32318792,32318790,32091390,0.993,0.909,0.765,0.46,0.765
S1_Tusket_006,31879137,31879134,31655533,0.993,0.909,0.763,0.456,0.771
S6_Waccamaw_1682,30888692,30888691,30673270,0.993,0.907,0.761,0.455,0.767
S1_Tusket_023,31540246,31540246,31320898,0.993,0.907,0.762,0.456,0.766
S6_LaHave_3616,30838987,30838986,30623930,0.993,0.907,0.762,0.452,0.773
S3_Annapolis_279,30532149,30532147,30318000,0.993,0.91,0.763,0.454,0.774
S5_Hudson_1191,30450695,30450694,30237496,0.993,0.906,0.763,0.457,0.766
S5_Connecticut_976,29995208,29995208,29784147,0.993,0.908,0.762,0.455,0.766
S6_Kennetcook_3559,30381642,30381640,30171123,0.9931,0.908,0.762,0.452,0.768
S6_Musquodoboit_1551,30488755,30488754,30276417,0.993,0.907,0.761,0.457,0.769
S5_StJohns_3459,30104245,30104242,29894036,0.993,0.907,0.764,0.456,0.762
S6_Musquodoboit_1543,30199954,30199953,29988957,0.993,0.909,0.763,0.456,0.769
S1_Tusket_021,30548074,30548072,30334899,0.993,0.907,0.765,0.455,0.769
S1_Musquodoboit_013,30040858,30040856,29831470,0.993,0.907,0.765,0.457,0.766
S3_Cooper_1782,30475899,30475897,30260088,0.9929,0.91,0.765,0.457,0.768
S6_Waccamaw_1678,29734251,29734251,29527496,0.993,0.908,0.765,0.456,0.766
S3_Annapolis_285,29986036,29986035,29775490,0.993,0.909,0.763,0.455,0.769
S6_LaHave_3610,29777032,29777031,29569853,0.993,0.906,0.763,0.454,0.768
S6_Waccamaw_1688,29499038,29499036,29294362,0.9931,0.908,0.762,0.455,0.773
S6_Musquodoboit_1540,29080952,29080952,28880110,0.9931,0.907,0.762,0.449,0.771
S6_Hudson_1199,29151617,29151616,28949265,0.9931,0.908,0.763,0.455,0.773
S6_LaHave_3613,29192106,29192104,28989560,0.9931,0.908,0.763,0.454,0.768
S5_Connecticut_998,29539108,29539108,29331326,0.993,0.909,0.762,0.459,0.77
S6_Waccamaw_1690,29505015,29505014,29299254,0.993,0.908,0.764,0.455,0.77
S5_Connecticut_992,28943424,28943424,28740814,0.993,0.909,0.762,0.455,0.767
S3_Waccamaw_1708,29103064,29103056,28900270,0.993,0.909,0.763,0.455,0.768
S3_Annis_508,28700108,28700107,28500693,0.9931,0.908,0.764,0.458,0.772
S6_LaHave_3609,28788352,28788350,28588283,0.9931,0.908,0.763,0.455,0.769
S5_Connecticut_988,28570190,28570189,28370174,0.993,0.908,0.762,0.456,0.768
S3_Annapolis_037,29258188,29258186,29052640,0.993,0.908,0.763,0.457,0.766
S6_Waccamaw_1683,28518355,28518354,28320011,0.993,0.908,0.763,0.453,0.772
S5_Kennetcook_3541,28556322,28556322,28355331,0.993,0.909,0.766,0.457,0.764
S6_LaHave_3605,28347596,28347594,28149982,0.993,0.906,0.76,0.45,0.769
S1_Tusket_030,28677119,28677119,28475257,0.993,0.908,0.765,0.455,0.762
S3_Annis_504,28515883,28515883,28313079,0.9929,0.906,0.761,0.456,0.766
S3_Musquodoboit_602,28167504,28167504,27969849,0.993,0.908,0.761,0.455,0.771
S1_Musquodoboit_015,28251894,28251893,28054305,0.993,0.908,0.762,0.458,0.766
S1_Tusket_024,28219685,28219683,28021501,0.993,0.907,0.764,0.456,0.77
S6_Musquodoboit_1550,27902980,27902980,27708752,0.993,0.905,0.76,0.454,0.769
S6_LaHave_3617,27456678,27456676,27265123,0.993,0.908,0.764,0.455,0.767
S6_Musquodoboit_1549,27504615,27504615,27312913,0.993,0.907,0.759,0.453,0.772
S6_LaHave_3618,27240175,27240172,27050261,0.993,0.907,0.764,0.456,0.766
S5_Hudson_1180,27543947,27543947,27351676,0.993,0.908,0.766,0.457,0.77
S6_Musquodoboit_1541,26990428,26990428,26802704,0.993,0.909,0.764,0.454,0.767
S5_Kennetcook_3547,27042756,27042755,26852858,0.993,0.909,0.765,0.458,0.765
S6_Musquodoboit_1548,27196195,27196194,27007168,0.993,0.909,0.764,0.454,0.767
S3_Waccamaw_1713,27304366,27304366,27114020,0.993,0.908,0.762,0.454,0.773
S3_Waccamaw_1714,27463406,27463403,27270985,0.993,0.909,0.765,0.458,0.77
S6_LaHave_3612,26713416,26713416,26527197,0.993,0.906,0.759,0.451,0.769
S3_Musquodoboit_598,27078831,27078831,26889956,0.993,0.909,0.764,0.454,0.773
S3_Annapolis_277,26939231,26939229,26750595,0.993,0.909,0.762,0.454,0.774
S6_Waccamaw_1679,26568997,26568996,26383270,0.993,0.909,0.763,0.456,0.771
S6_Hudson_1198,26044157,26044155,25863460,0.9931,0.907,0.761,0.455,0.769
S1_Tusket_028,26607412,26607410,26421064,0.993,0.908,0.765,0.459,0.771
S6_Waccamaw_1685,26007334,26007330,25826589,0.9931,0.907,0.759,0.451,0.772
S6_Kennetcook_3562,25888748,25888747,25709524,0.9931,0.904,0.759,0.45,0.771
S6_Waccamaw_1687,25809755,25809752,25630806,0.9931,0.906,0.761,0.453,0.767
S6_Kennetcook_3568,25743721,25743721,25564410,0.993,0.908,0.762,0.454,0.771
S5_Hudson_1169,25448225,25448225,25268992,0.993,0.91,0.765,0.457,0.765
S3_Annapolis_033,25494386,25494382,25313333,0.9929,0.909,0.761,0.454,0.77
S5_StJohns_3468,25126716,25126716,24949713,0.993,0.909,0.763,0.454,0.77
S5_StJohns_3470,25118451,25118450,24941804,0.993,0.909,0.764,0.458,0.767
S6_Waccamaw_1691,25000044,25000043,24825598,0.993,0.908,0.765,0.457,0.77
S1_Tusket_013,25516190,25516188,25337390,0.993,0.91,0.766,0.457,0.766
S6_LaHave_3607,24769897,24769896,24596737,0.993,0.906,0.763,0.452,0.771
S1_Musquodoboit_025,25488696,25488696,25308666,0.9929,0.906,0.763,0.454,0.771
S5_Connecticut_985,24818031,24818031,24644604,0.993,0.91,0.764,0.455,0.767
S6_Waccamaw_1681,24640244,24640243,24468607,0.993,0.908,0.765,0.456,0.772
S3_Annapolis_271,24942530,24942530,24767785,0.993,0.908,0.764,0.458,0.77
S6_Altamaha_3972,25112699,25112697,24936668,0.993,0.906,0.762,0.458,0.773
S6_Kennetcook_3569,24598730,24598730,24427216,0.993,0.908,0.762,0.455,0.771
S6_Kennetcook_3566,24424550,24424550,24254417,0.993,0.907,0.761,0.453,0.768
S5_Connecticut_979,24404740,24404740,24233487,0.993,0.907,0.765,0.457,0.768
S6_Kennetcook_3564,24148896,24148895,23982049,0.9931,0.907,0.764,0.457,0.774
S6_Musquodoboit_1546,24250105,24250102,24080783,0.993,0.907,0.762,0.453,0.77
S3_Waccamaw_1719,24076646,24076643,23909850,0.9931,0.905,0.758,0.456,0.772
S3_Palmer_539,23961536,23961535,23793400,0.993,0.908,0.763,0.456,0.772
S6_Waccamaw_1680,23652280,23652279,23486806,0.993,0.908,0.763,0.456,0.768
S6_LaHave_3611,23630057,23630057,23465536,0.993,0.907,0.761,0.453,0.767
S3_Waccamaw_1711,23841493,23841492,23674776,0.993,0.911,0.764,0.453,0.772
S1_Musquodoboit_001,23772719,23772716,23605701,0.993,0.908,0.765,0.458,0.769
S3_Musquodoboit_600,23482501,23482501,23318022,0.993,0.908,0.762,0.452,0.773
S6_Musquodoboit_1544,23496741,23496739,23333132,0.993,0.908,0.764,0.456,0.769
S5_Hudson_1179,23435345,23435345,23271720,0.993,0.908,0.766,0.456,0.767
S5_Connecticut_991,23192156,23192156,23028505,0.9929,0.909,0.764,0.455,0.768
S3_Annapolis_291,23133220,23133220,22971475,0.993,0.907,0.762,0.452,0.776
S3_Cooper_1779,23129994,23129991,22969157,0.993,0.907,0.761,0.453,0.772
S1_Tusket_016,23617069,23617068,23451380,0.993,0.91,0.766,0.456,0.769
S6_LaHave_3604,22901547,22901547,22741237,0.993,0.908,0.766,0.456,0.768
S5_Connecticut_984,22805364,22805364,22646103,0.993,0.909,0.763,0.456,0.766
