Sample,Reads (Before),Reads (After),Bases (Before),Bases (After),% Q20 (Before),% Q20 (After),% Q30 (Before),% Q30 (After),% GC (Before),% GC (After)
S3_Waccamaw_1721,90892696,85394070,10287918808,9044951336,97.66,99.28,92.09,95.41,44.29,43.88
S1_Tusket_015,97007348,87185422,10980022831,9487482698,96.2,98.87,87.99,93.38,44.79,44.11
S3_Cooper_1781,100762774,92670620,11405501680,9910881094,96.98,99.1,90.22,94.53,44.66,44.1
S3_Waccamaw_1704,133729584,123972816,15136839304,13179147959,97.13,99.13,90.59,94.64,44.91,44.38
S3_Waccamaw_1705,86133346,80272006,9749343387,8454494214,97.4,99.17,91.19,94.82,44.72,44.23
S3_Musquodoboit_594,89502354,84193884,10130410184,8963250476,97.71,99.28,92.12,95.34,43.95,43.52
S5_Hudson_1193,86233046,77864274,9761081274,8506932803,96.32,98.94,88.58,93.83,44.95,44.2
S5_Kennetcook_3546,197793470,176618850,22387686443,19277703066,96.11,98.88,87.92,93.5,44.95,44.16
S1_Annapolis_27,84822162,76641032,9600883961,8304551687,96.19,98.93,88.25,93.73,45.58,44.85
S1_Musquodoboit_027,83394182,72730994,9439640792,7838162304,95.09,98.73,85.7,92.84,46.42,45.35
S5_Connecticut_977,82552212,74474150,9343487820,8146349349,96.44,98.94,88.74,93.82,44.54,43.83
S3_Palmer_537,82977120,77397200,9392089546,8216496345,97.46,99.23,91.5,95.13,44.16,43.66
S5_Kennetcook_3540,81082208,73255390,9177754670,8020326497,96.48,98.97,88.91,93.97,44.59,43.85
S3_Annis_513,81402372,76323234,9212972613,8143265199,97.64,99.27,91.98,95.34,43.74,43.3
S3_Annapolis_282,81307624,76623928,9202139794,7980879715,97.82,99.33,92.58,95.67,44.33,43.86
S3_Cooper_1783,81462512,76296092,9219801368,8085302264,97.57,99.27,91.87,95.33,44.24,43.76
S3_Cooper_1780,78873372,73947364,8927005005,7787482510,97.56,99.25,91.82,95.27,44.65,44.2
S3_Annapolis_272,78986280,73751070,8939880041,7808876199,97.49,99.25,91.67,95.26,44.28,43.79
S3_Cooper_1784,77454638,70615666,8768395423,7563070413,96.82,99.07,89.77,94.34,44.65,44.03
S1_Annapolis_7,75513086,67025982,8547197128,7267629263,95.67,98.78,86.83,93.01,45.49,44.64
S3_Annapolis_039,78269246,72148412,8858618064,7703447940,97.08,99.16,90.55,94.79,44.58,44.0
S1_Annapolis_003,76168076,70482472,8621253115,7646783044,96.9,99.08,90.02,94.38,45.16,44.62
S3_Musquodoboit_601,76182042,71897122,8622330309,7472536335,97.82,99.33,92.57,95.66,43.68,43.2
S6_Annis_4799,76303692,72375076,8636090784,6911580496,97.83,99.31,92.77,95.78,44.8,44.27
S3_Annapolis_290,75142148,70910956,8504810480,7453208705,97.87,99.33,92.59,95.6,43.75,43.32
S6_LaHave_3615,74812992,70398396,8467404873,7055931740,97.64,99.25,92.15,95.41,44.3,43.75
S6_Musquodoboit_1547,73322954,69258110,8298914664,6805268110,97.78,99.28,92.49,95.55,44.32,43.78
S5_Connecticut_989,72794322,66129326,8239776472,7240249971,96.59,98.97,89.1,93.95,44.51,43.85
S3_Annapolis_288,72994036,64637584,8263296173,6905322798,95.71,98.88,87.22,93.52,46.05,45.12
S1_Tusket_026,72619230,65212190,8219945274,7088528863,95.99,98.82,87.51,93.16,45.19,44.42
S1_Tusket_029,72174978,67166502,8168919121,7303855920,97.12,99.09,90.44,94.42,43.68,43.21
S6_Waccamaw_1689,72219104,68184508,8173496397,6727933056,97.78,99.28,92.53,95.58,44.62,44.1
S3_Waccamaw_1720,71777002,64748328,8123720820,6945436451,96.39,99.0,88.81,94.07,45.26,44.52
S1_Tusket_006,70425650,63758274,7971522141,6918659989,96.12,98.9,88.06,93.59,45.53,44.8
